,y,x,mass,size,ecc,signal,raw_mass,ep,x_orig,y_orig,Worm,Rep,RNAi,Genotype
403,196.02758127384777,1231.9398858360191,3388.143011228931,8.255945905927511,0.03394286670392577,11.123701963542842,9684.0,0.0046614397048391635,806.8604671255364,706.4006854246464,3,1,L4440,JM149
412,231.26096839339834,1289.2753893650138,3603.2012491907594,7.705338924969846,0.1690032230742037,18.34435060654434,11764.0,0.0037998908135616913,740.8910011644596,719.6965905705852,3,1,L4440,JM149
421,194.36183676634846,1108.996096351389,4037.4159311009844,8.381547131062419,0.04546989282114348,12.782499624772916,11653.0,0.003837743388932965,922.8345457621384,747.2413901442831,3,1,L4440,JM149
439,229.00915533333614,1155.0721931677838,3155.3258806586396,8.318201309088622,0.06422917115678765,10.147938633407506,9258.0,0.004888439419780521,867.6357114141696,763.8706435352692,3,1,L4440,JM149
446,181.12004127429645,963.9305628452876,1066.216590838883,8.366490881573709,0.11616901265682006,3.5127479884872135,2574.0,0.020719707492677694,1063.5655715200878,784.8463439187334,3,1,L4440,JM149
453,223.44154309317162,1009.2195325415298,1546.7800309305364,8.454483974095115,0.11095916191254632,5.073969316703753,4007.0,0.012228973691270526,1006.4586802927075,808.9503532677264,3,1,L4440,JM149
465,186.555090711881,839.9697298040712,3724.391054793568,8.143155736850865,0.11465467898878706,13.075228623813517,10618.0,0.004230709293423606,1178.0451675443423,832.7029002593728,3,1,L4440,JM149
471,223.30608851268892,889.7136482641658,4213.443635857399,8.130059478102373,0.06447283830146809,14.148568286962387,12128.0,0.0036808366866705076,1118.67800653065,850.0416850003473,3,1,L4440,JM149
487,195.25438563202965,741.6742378075883,2749.7986406543937,8.444379647936243,0.028759104139834724,7.806106641082697,8159.0,0.00559081324639745,1267.3084702459103,874.7712288421277,3,1,L4440,JM149
496,227.3801955503227,777.5569777715602,2305.9239017758287,8.662335297698277,0.055392590917731924,7.806106641082697,7026.0,0.006562955340014688,1222.547181787407,892.5494668246446,3,1,L4440,JM149
505,194.31406086004358,656.0430966959987,1810.1385537340639,7.965029896742195,0.08592631928670269,6.537614311906759,4920.0,0.00969716457806312,1348.0093256428224,903.4234273085009,3,1,L4440,JM149
517,200.3303892019146,593.278925481789,2547.2301733182976,7.89504267931815,0.06359290150828295,9.562480635326304,7524.0,0.006096973987115829,1404.8470024899445,930.7184064355488,3,1,L4440,JM149
521,243.3780670945963,674.3876421460952,2409.842696435242,7.7077731134475425,0.09749360493591942,9.367327969299236,6432.0,0.007221255581317576,1313.8679191804672,943.1495323318621,3,1,L4440,JM149
528,231.62310108532904,608.0008502883484,1597.714876763601,7.783649275404591,0.08330773782609456,5.952156313825556,5184.0,0.009149432406389853,1380.2353731525589,955.0131916452913,3,1,L4440,JM149
542,253.1750655277183,565.3260962414486,1589.0305831253966,7.3080513386983865,0.18089655852258082,7.318224976015029,4105.0,0.011895602599275749,1412.858028860915,989.9614983113295,3,1,L4440,JM149
362,126.35524100164128,381.00342395362145,1508.3589691395669,7.184695259758861,0.11483223164881234,6.7332864771104495,4388.0,0.007906773191511845,1168.1828528589926,500.6802971444149,7,1,L4440,JM149
380,132.72333475210132,417.3362195686784,2095.4398709835023,7.508503486550121,0.0703789679126477,8.275260479502155,7429.0,0.004470600470698588,1144.5174892072214,528.9747350863422,7,1,L4440,JM149
395,164.78745224891156,423.2412240998125,1008.1426027636974,7.117167527948393,0.08868558385396053,4.934316807653459,3251.0,0.01109532212328491,1160.678443968594,557.290812684817,7,1,L4440,JM149
407,117.7847323142513,495.8902848939189,1400.215192438495,7.622419395392005,0.06106327852051509,4.882917674240402,3587.0,0.009913870704186768,1074.8414947507524,568.2068497173482,7,1,L4440,JM149
423,153.51247121019662,496.3613882590159,752.2777166335003,7.649811055368416,0.06517799501230732,2.6213558040659,1687.0,0.024917362653917897,1097.5181743645805,595.8195545230938,7,1,L4440,JM149
428,117.80133520620222,568.8332671646559,749.9647556299127,7.978751508579887,0.03049666800933434,2.4671584038267294,1579.0,0.02726259836794025,1019.0973202659173,615.2522102666027,7,1,L4440,JM149
467,158.78299664823578,601.3894769114836,1233.3222062462994,8.05406817512856,0.02366239596474326,4.214728939870663,3469.0,0.010299006619595886,1020.6370077099396,667.5688685142738,7,1,L4440,JM149
490,119.85244402419096,686.6513559080879,589.3424637141101,7.795613225224802,0.10181309325215604,1.953167069696161,1071.0,0.04892040095368544,930.3641200069771,692.7875457875458,7,1,L4440,JM149
682,132.2183498860751,1122.817829215426,1738.4214902964093,7.613540468306396,0.1935940853881786,6.7332864771104495,4934.0,0.006947943203533202,604.9481993968423,983.4739518656496,7,1,L4440,JM149
736,139.56584227026735,1220.4671176579436,2289.6257970180313,7.038596762535765,0.0702980992387607,9.920032748719976,6310.0,0.005321605315044415,535.0463116778162,1052.053068737934,7,1,L4440,JM149
