,y,x,mass,size,ecc,signal,raw_mass,ep,orig_x,orig_y,Worm,Rep,RNAi,Genotype
334,62.66176028509983,541.8403160887053,1634.7352737389351,7.170081534910154,0.08190521071746674,7.149398387163634,4351.0,0.006103714493425424,820.2045869348118,479.3265608319846,4,3,L4440_RNAi,JM259
351,100.25703792510706,545.0018529315639,1305.0748252725555,7.52753074417609,0.13644290643303708,5.207238982776663,3479.0,0.007855042290487812,790.1118707673727,502.08240952422034,4,3,L4440_RNAi,JM259
380,61.26267643870432,615.2407353802884,965.5628435955169,7.1789168413435025,0.025235627054413227,4.0532022352423756,2389.0,0.01224786433513806,860.5974521921642,540.629052005597,4,3,L4440_RNAi,JM259
388,101.71841926294178,614.6279766239813,887.2009337141644,7.1202863114737465,0.07622511945398855,4.081349472987114,2161.0,0.01387039223818191,826.070399746193,561.7223032994924,4,3,L4440_RNAi,JM259
426,103.46567652760706,684.4070626099999,1054.114053540465,7.48425137816661,0.05538432248166007,4.3065273749450235,2607.0,0.01101578026487952,861.8689719626168,621.6442189586115,4,3,L4440_RNAi,JM259
431,72.24129079031923,711.8656694411559,936.683777669415,7.543969316298623,0.05148539977645897,3.5184047180923397,2174.0,0.013766409560158384,902.9331089608751,628.1767534106617,4,3,L4440_RNAi,JM259
472,109.41447607238734,771.3491299011198,667.9620989203945,8.050528349126964,0.00887214063408975,2.476956921537007,1312.0,0.027373576512565206,903.2841009649825,698.3194977034259,4,3,L4440_RNAi,JM259
489,82.16037420121455,822.7774822624183,1220.773848227063,7.481447390701388,0.032302518054975325,4.8694721298397985,2978.0,0.009405570251803809,953.7964307947707,727.2360332941366,4,3,L4440_RNAi,JM259
536,119.32592588166415,868.1684762181369,669.5946387095894,8.015024354952631,0.08750286168897801,2.758429298984394,1290.0,0.02808199585969224,946.6257513977048,785.4614737904074,4,3,L4440_RNAi,JM259
559,100.69472555185314,922.5231604789735,695.7434225744516,8.194624648444487,0.04526549154306791,2.6176931102607006,1290.0,0.02808199585969224,991.4118456185776,821.458127680233,4,3,L4440_RNAi,JM259
638,122.94859267385738,1046.8421308017948,928.2959008214829,7.5728521543315805,0.04168583193182745,3.5465519558370784,2044.0,0.014882079900273746,1039.0098544572468,938.4404790782293,4,3,L4440_RNAi,JM259
676,98.8561808487047,1119.1578801649423,742.3271010419942,7.401991736475815,0.08008485647205073,2.8428710122186103,1661.0,0.019549914878914935,1098.0073560080384,986.7033708717248,4,3,L4440_RNAi,JM259
704,125.19661306943345,1159.3983688303392,1161.8898268650696,7.393013830921941,0.10878718159745868,4.813177654350321,2769.0,0.010249576276893513,1097.2364398362363,1034.7920492259987,4,3,L4440_RNAi,JM259
724,96.98126105143007,1218.478064058162,908.789865064379,7.102700460150176,0.1534233952078008,4.559852514647672,2167.0,0.013822205718205142,1152.6486821321275,1069.6632390745501,4,3,L4440_RNAi,JM259
747,120.1294034571572,1252.863140345448,1159.9758146984273,7.040746021210885,0.11197571921599454,5.601300311203005,2928.0,0.009594582272273798,1151.4484724952076,1111.0966732183156,4,3,L4440_RNAi,JM259
763,99.30127311979629,1285.787852431783,665.9354978027733,6.479051287302708,0.06671504538716914,3.377668529368646,1626.0,0.02012680892419805,1186.6439832621836,1127.8036687941164,4,3,L4440_RNAi,JM259
782,111.92681343556836,1313.0562705963075,986.5043884776026,6.992591948578464,0.15116804023525718,4.841324892095059,2509.0,0.011537530205715721,1190.5374914403105,1157.5998345126684,4,3,L4440_RNAi,JM259
271,138.94210682561436,434.9388294080416,2347.7498087224008,7.286483923271633,0.0644893791603087,11.48231076975416,7810.0,0.0032441183876600046,747.0134064711636,398.5838623679012,5,3,L4440_RNAi,JM259
